n,tiempo_[s]
1,0.000006
2,0.000005
3,0.000008
4,0.000006
5,0.000006
6,0.000006
7,0.000006
8,0.000007
9,0.000007
10,0.000009
11,0.000011
12,0.000014
13,0.000019
14,0.000029
15,0.000041
16,0.000064
17,0.000103
18,0.000162
19,0.000259
20,0.000422
21,0.000672
22,0.001096
23,0.001766
24,0.002853
25,0.004612
26,0.007440
27,0.012064
28,0.019471
29,0.031381
30,0.050896
31,0.082169
32,0.133024
33,0.215389
34,0.348865
35,0.563232
36,0.911925
37,1.474866
38,2.385486
39,3.860239
40,6.239341
41,10.090829
42,16.329048
43,31.442171
44,49.882478
45,79.593148